"Group.1" "Group.2" "CXQ_T_tpm" "GY_T_tpm" "HCM_T_tpm" "LGL_T_tpm" "MYP_T_tpm" "SMJ_T_tpm" "XB_T_tpm" "CXQ_N_tpm" "GY_N_tpm" "HCM_N_tpm" "LGL_N_tpm" "MYP_N_tpm" "SMJ_N_tpm" "XB_N_tpm"
"42" "AATBC" "AATBC" 1.39 3.45 0.59 1.75 0.79 0.49 0.24 0.16 0.18 0.01 0.49 0.65 0.69 0.14
"43" "AATF" "AATF" 42.03 40.53 31.66 48.06 50.75 47.76 33.4 23.87 21.06 18.59 24.5 27.38 20.74 24.4
"44" "AATK" "AATK" 0.14 2.01 0.51 0.84 0.63 2.58 2.62 0.19 0.31 0.52 0.48 1.08 0.22 0.58
"45" "ABALON" "ABALON" 0 0 0 0 0 0.1 0 0 0 0.04 0 0 0 0
"46" "ABAT" "ABAT" 4.7 4.09 18.11 6.6 12.36 1.11 1.72 5.86 8.89 7.48 10.85 5.7 7.09 2.37
"47" "ABCA1" "ABCA1" 5.67 3.23 9.08 2.98 13.32 9.66 3.2 2.6 5.21 5.72 4.67 6.5 4.62 1.59
"48" "ABCA10" "ABCA10" 0.17 0.43 0.95 0.6 0.48 0.63 0.24 2.42 4.93 6.86 3.29 3.17 2.1 0.65
"49" "ABCA11P" "ABCA11P" 4.54 1.31 4.1 2 3.54 2.82 1.89 2.3 2.69 2.31 2.17 3.37 2.45 1.46
"50" "ABCA12" "ABCA12" 0 1.74 0 4.5 0.05 0.09 0.61 0.05 0 0 0 0.06 0.06 0.04
"51" "ABCA13" "ABCA13" 0.07 0.27 0.11 0.02 1.09 0.02 0.09 0.04 0.06 0.06 0.23 0.1 0.22 0.01
"52" "ABCA17P" "ABCA17P" 0.03 0 0.02 0 0.04 0 0 0 0 0.06 0 0.07 0 0
"53" "ABCA2" "ABCA2" 12.74 12.56 13.57 10.14 11.2 10.36 22.21 10.78 10.84 6.07 9.39 7.91 8.31 5.98
"54" "ABCA3" "ABCA3" 0.42 0.41 1.22 0.48 0.42 2.24 0.59 0.53 0.96 0.47 0.9 1.28 0.6 0.4
"55" "ABCA3P1" "ABCA3P1" 0 0 0 0 0 0.49 0.42 0 0 0 0 0 0 0
"56" "ABCA4" "ABCA4" 0.04 0.37 0.17 0.08 0.09 0.72 0.05 0.03 0.67 0.02 0.13 0.1 0.13 0.01
"57" "ABCA5" "ABCA5" 3.29 5.99 5.07 7.17 10.07 3.38 3.59 15.93 20.84 36.36 13.62 16.21 24.87 7.95
"58" "ABCA6" "ABCA6" 0.49 0.52 3.12 0.09 0.89 0.85 0.76 2.54 2.82 3.11 1.98 3.17 2.16 0.66
"59" "ABCA7" "ABCA7" 3.68 2.69 1.94 2.22 8.74 3.6 8.49 2.86 3.71 2.93 2.57 2.71 2.85 1.41
"60" "ABCA8" "ABCA8" 0.2 0.03 7.3 0.7 1.11 0.1 1.45 15.85 16.04 16.32 21.11 21.49 13.26 4.11
"61" "ABCA9" "ABCA9" 0.08 0.02 1.09 0.12 0.61 0.13 0.05 0.75 1.41 1.68 1.06 1.52 1.2 0.2
"62" "ABCA9-AS1" "ABCA9-AS1" 0 0 2.04 0 1.2 0 0 0 0 0.19 0.1 0 0 0
"63" "ABCB1" "ABCB1" 3.1 13.09 18.28 14.59 47.77 12.59 4.36 26.05 44.78 61.57 48.48 31.78 46.99 12.33
"64" "ABCB10" "ABCB10" 7.72 9.87 10.5 9.62 12.97 13.09 6.35 5.23 9.86 7.22 8.36 8.66 8.53 3.76
"65" "ABCB10P1" "ABCB10P1" 0 0 0.24 0 0 0 0 0 0 0 0 0 0 0
"66" "ABCB10P3" "ABCB10P3" 0 0 0.12 0 0 0 0 0 0 0 0 0 0 0
"67" "ABCB10P4" "ABCB10P4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"68" "ABCB11" "ABCB11" 0.02 0.15 0.04 0.13 0.11 0.07 0.1 0.28 0.23 1.17 3.42 0.31 0.29 0.16
"69" "ABCB4" "ABCB4" 0.48 0.96 1.16 0.46 0.65 0.67 2.61 0.46 1.04 1.22 0.47 0.92 0.26 0.59
"70" "ABCB5" "ABCB5" 0.01 0.05 0.36 0 0.1 0 0.03 0.34 0.24 0.09 0.19 0.19 0.16 0.05
"71" "ABCB6" "ABCB6" 12.26 6.51 5.74 8.94 14.62 10.57 9.55 4.11 3.73 4.72 3.05 3.96 6.42 4.9
"72" "ABCB7" "ABCB7" 18.65 12.9 24.65 12.97 12.49 12.33 16.93 10.43 9.24 7.04 8.85 11.82 11.83 8.12
"73" "ABCB8" "ABCB8" 7.14 7.92 8.97 12.92 14.8 8.99 23.8 6.55 4.1 6.15 7.25 8.66 9.82 5.98
"74" "ABCB9" "ABCB9" 0.84 1.94 2.04 1.29 2.29 1.94 1.28 0.84 1.24 1.97 1.41 2.87 1.42 0.51
"75" "ABCC1" "ABCC1" 31.79 29.26 39.24 22.15 30.54 27.79 18.75 8.03 7.44 9.54 10.34 13.12 13.37 7.03
"76" "ABCC10" "ABCC10" 7.29 7.2 8.2 10.75 6.71 2.46 12.74 2.91 4.1 7.8 4.98 4.93 6.82 3.61
"77" "ABCC11" "ABCC11" 0.82 0.08 0.24 0.35 0.02 0.25 0.1 0.15 0.03 0.02 0.17 0.04 0.01 0.14
"78" "ABCC12" "ABCC12" 0 0 0 0 0 0.02 0 0 0 0 0 0 0 0
"79" "ABCC13" "ABCC13" 0.17 0.07 0 0.48 0.01 0.27 0.32 2.905 1.395 4.04 1.325 2.43 2.97 0.82
"80" "ABCC2" "ABCC2" 0.9 0.17 5.18 1.71 4.88 0.65 0.57 0.35 0.37 0.77 0.31 0.27 0.49 0.42
"81" "ABCC3" "ABCC3" 25 36.09 12.69 42.22 25.93 22.01 31.19 36.07 45.32 51.3 63.67 36.22 44.01 25.92
"82" "ABCC4" "ABCC4" 7.67 4.86 5.34 6.53 10.93 8.04 7.07 3.84 8.71 4.46 8.07 8.49 4.02 2.16
"83" "ABCC5" "ABCC5" 15.74 12.91 21.59 13.3 14.62 8.62 16.91 15.51 16.76 27.29 9.6 11.71 13.67 4.42
"84" "ABCC5-AS1" "ABCC5-AS1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"85" "ABCC6" "ABCC6" 3.48 2.01 9.3 2.01 5.9 5.38 4.76 5.94 6.75 6.4 6.58 5.04 8.43 6.41
"86" "ABCC6P1" "ABCC6P1" 0.63 1.36 1.615 0.245 1.205 1.085 1.13 1.595 2.75 1.3 2.05 1.33 2.045 1.23
"87" "ABCC6P2" "ABCC6P2" 1.31 1.095 3.91 1.035 1.295 1.83 0.65 2.335 2.715 2.215 1.635 1.405 1.635 1.5
"88" "ABCC8" "ABCC8" 0.1 0.01 0.39 0.04 0.02 0 0 0.68 0.06 0.4 0.31 0.27 0.23 0.09
"89" "ABCC9" "ABCC9" 1.59 1.28 5.27 0.61 2.7 1.15 0.96 0.77 1.14 0.82 0.92 1.37 0.53 0.36
"90" "ABCD1" "ABCD1" 2.99 2.19 3.94 2.54 4.64 2.64 11.31 2.04 1.22 2.02 1.64 2.8 3.08 3.06
"91" "ABCD1P2" "ABCD1P2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"92" "ABCD1P3" "ABCD1P3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"93" "ABCD1P4" "ABCD1P4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"94" "ABCD1P5" "ABCD1P5" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"95" "ABCD2" "ABCD2" 0.05 0.07 0.2 0.14 0.17 0.37 0.07 0.12 0.33 0.37 0.14 0.54 0.22 0.15
"96" "ABCD3" "ABCD3" 28.53 22.49 20.37 32.53 24.95 15.56 22.52 28.18 32.77 42.07 34.05 30.78 32.2 14.22
"97" "ABCD4" "ABCD4" 17.48 24.48 29.07 21.34 14.61 17.93 18.01 27.36 17.85 25.62 18.56 19.88 22.38 20.04
"98" "ABCE1" "ABCE1" 37.28 31.57 50.82 50.71 51.52 52.75 29 12.6 16.05 9.79 16.54 25.75 13.84 8.97
"99" "ABCF1" "ABCF1" 30.43 28.46 31.23 35.37 30.2 23.08 35.05 20.59 19.42 17.31 23.11 25.83 20.92 19.59
"100" "ABCF2" "ABCF2" 18.74 11.96 19.65 12.7 17.97 13.69 21.18 7.36 7.2 8.65 9.07 11.78 7.62 7.39
"101" "ABCF2-H2BK1" "ABCF2-H2BK1" 15.32 16.86 12.57 17.09 15.84 15.85 10.38 7.71 8.12 7.24 8.69 6.03 8.84 4.47
"102" "ABCF2P1" "ABCF2P1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"103" "ABCF2P2" "ABCF2P2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"104" "ABCF3" "ABCF3" 36.13 27.84 25.19 25.77 34.43 25.64 56.67 23.59 21.53 19.82 23 26.3 25.48 19.97
"105" "ABCG1" "ABCG1" 10.14 9.88 13.04 9.28 11.04 11.39 10.34 12.59 17.67 27 12.05 8.67 14.16 11.12
"106" "ABCG2" "ABCG2" 0.11 2.4 1.41 2.04 0.59 1.49 0.57 11.28 1.68 47.09 31.39 3.34 13.42 1.15
"107" "ABCG4" "ABCG4" 0 0.05 0.14 0.05 0.1 0.06 0.11 0.04 0.24 0.1 0.05 0.14 0 0.07
"108" "ABCG5" "ABCG5" 0.02 0.9 0 0.05 0.02 0.66 0.12 0.02 0.11 0.02 0.02 0.04 0.05 0.06
"109" "ABCG8" "ABCG8" 0.05 0.44 0.1 0.08 0.05 0.22 0.19 0.01 0.05 0.02 0.15 0.05 0.01 0.07
"110" "ABHD1" "ABHD1" 1.01 0 0.62 0 0.97 0.13 0.09 0.53 0.12 0.2 0.38 0.78 0.04 0.05
"111" "ABHD10" "ABHD10" 20.02 20.08 13.26 11.18 10.62 19.44 14.11 10.75 9.92 8.71 7.39 12.89 10.14 6.46
"112" "ABHD11" "ABHD11" 51.54 37.83 50.07 33.85 38.42 50.53 70.55 42.93 18.86 35.11 33.21 26.71 38.42 33.58
"113" "ABHD11-AS1" "ABHD11-AS1" 1.28 5.44 3.8 7.54 5.42 4.87 5.35 10.62 9.98 34.67 15.49 10.18 17.14 21.42
"114" "ABHD12" "ABHD12" 90.47 55.59 35.9 44.63 100.55 38.73 50.64 56.18 45.37 55.07 50.25 40.53 58.11 40.92
"115" "ABHD12B" "ABHD12B" 0 11.34 1.02 1.56 7.79 0.05 0.77 0.17 0.5 3.07 2.58 0.96 0.02 0.22
"116" "ABHD13" "ABHD13" 5.81 5.03 5.99 7.48 9.08 6.91 4.68 3.83 4.42 4.44 3.63 5.3 4.02 2.62
"117" "ABHD14A" "ABHD14A" 4.13 5.05 3.84 6.83 3.01 6.77 12.82 6.31 3.95 4.31 2.96 5.87 4.89 4.24
"118" "ABHD14A-ACY1" "ABHD14A-ACY1" 10.86 12.38 7.03 10.99 3.88 11.68 7.15 7.68 6.77 4.03 2.71 4.65 6.95 5.4
"119" "ABHD14B" "ABHD14B" 27.69 46.76 21.74 31.58 32.17 25.39 51.16 49.9 35.73 31.66 37.78 34.63 35.31 37.56
"120" "ABHD15" "ABHD15" 4.7 7.47 5.71 5.34 4.23 4.2 4.1 5.05 7.02 6.78 6.03 4.19 6.83 3.51
"121" "ABHD15-AS1" "ABHD15-AS1" 15.96 0 0 0 0 0 0 0 0 0 0 0 0 0
"122" "ABHD16A" "ABHD16A" 33.28 23.1 32.01 28.77 34.74 17.98 41.25 27.86 18.94 23.54 20.61 29.13 32.92 25.21
"123" "ABHD16B" "ABHD16B" 0 0 0 0 0 0 0.62 0 0 0 0 0 0 0
"124" "ABHD17A" "ABHD17A" 3.31 3.41 3.94 4.76 6.01 2.79 49.01 4.28 2.29 3.65 6.1 8.12 3.21 5.96
"125" "ABHD17AP1" "ABHD17AP1" 0 0 0 0 0.09 0 0 0 0 0 0 0 0 0
"126" "ABHD17AP3" "ABHD17AP3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"127" "ABHD17AP4" "ABHD17AP4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"128" "ABHD17AP5" "ABHD17AP5" 0 0 0.09 0 0.09 0 0 0.08 0 0 0 0.18 0 0
"129" "ABHD17AP6" "ABHD17AP6" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"130" "ABHD17AP7" "ABHD17AP7" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"131" "ABHD17AP8" "ABHD17AP8" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"132" "ABHD17AP9" "ABHD17AP9" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"133" "ABHD17B" "ABHD17B" 12.23 8.03 7.55 6.93 8.7 10.2 6.79 8.28 7.8 9.03 6.35 9.11 7.71 7.11
"134" "ABHD17C" "ABHD17C" 47.81 47.58 37.61 60.9 33.41 50.44 27.32 54.2 49.27 69.76 42.43 43.55 51.94 38.41
"135" "ABHD18" "ABHD18" 4.61 3.41 5.89 5.88 5.5 3.58 3.28 4.1 6.1 5.35 5.24 6.47 4.03 1.69
"136" "ABHD2" "ABHD2" 32.73 68.12 28.21 147.19 27.6 31.94 21.69 9.01 12.42 11.48 16.9 16.35 16.83 5.06
"137" "ABHD3" "ABHD3" 27.14 31.02 14.67 35.48 18.42 29.47 19.65 63.66 55.74 102.82 51.16 62.26 75.13 41.08
"138" "ABHD4" "ABHD4" 10.76 7.13 13.57 10.44 10.4 10.54 8.62 9.3 10.31 13.85 12.47 9.5 11.3 6.13
"139" "ABHD5" "ABHD5" 18.75 12.28 12.44 16.62 21.15 14.28 11.73 10.44 15.25 18.5 15.72 10.54 12.13 6.65
"140" "ABHD6" "ABHD6" 8.3 12.57 7.78 16.23 7.56 11.76 8.53 9.8 7.82 8.28 11.29 7.89 11.68 5.94
"141" "ABHD8" "ABHD8" 1.19 0.65 1.16 0.45 1.24 0.77 3.06 0.7 0.45 0.53 0.75 1.65 0.81 1.02
"142" "ABI1" "ABI1" 30.84 31.24 35.98 30.93 31.72 37.89 21.93 23.2 29.46 29.28 24.32 30.12 28.01 13.96
"143" "ABI1P1" "ABI1P1" 0 0 0 0 0 0 0 0 0 0.07 0 0 0 0
"144" "ABI2" "ABI2" 29.43 9.93 18.53 10.62 17.91 15.65 7.84 7.64 6.08 7.44 5.02 10.14 6.33 4.19
"145" "ABI3" "ABI3" 2.17 1.94 4.14 1.87 4.88 3 10.64 4.76 3.38 4.79 4.43 8.87 6.32 6.71
"146" "ABI3BP" "ABI3BP" 2.4 3.21 14.46 2.1 21.8 8.26 4.72 13.8 23.14 17.55 16.47 41.58 16.21 4.83
"147" "ABITRAM" "ABITRAM" 25.04 10.05 20.85 12.11 15.99 12.48 14.01 12.86 11.37 10.64 8.39 11.75 9.38 6.59
"148" "ABITRAMP1" "ABITRAMP1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"149" "ABL1" "ABL1" 30.05 16.75 22.95 23.42 19.39 15.64 25.77 14.39 12.98 12.81 18.85 20.85 11.91 7.1
"150" "ABL2" "ABL2" 5.94 2.9 8.05 4.04 7.14 3.22 3.46 1.44 2.75 1.45 2.08 3.49 2.04 1.17
"151" "ABLIM1" "ABLIM1" 42.71 38.15 36.15 104.3 26.65 29.4 53.39 22.51 40.71 29.76 42.16 40.22 33.02 11.37
"152" "ABLIM2" "ABLIM2" 11.57 4 19.41 8.05 11.7 2.21 9 4.39 2.82 4.22 3.09 3.57 2.96 2.58
"153" "ABLIM3" "ABLIM3" 2.71 6.04 3.63 2.73 5.09 4.09 3.33 2.72 2.83 1.58 2.16 3.08 2.1 2.23
"154" "ABO" "ABO" 15.76 10.22 8.89 18.23 7.38 3.24 23.97 22.38 15.42 27.85 17.59 16.54 22.45 13.41
"155" "ABR" "ABR" 61.84 48.81 68.31 63.02 25.73 36.28 60.46 45.63 62.04 48.53 61.47 46.71 55.33 24.41
"156" "ABR-AS1" "ABR-AS1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"157" "ABRA" "ABRA" 0 0.05 0.15 0 0.07 0.02 0 0.02 0 0.02 0.09 0.07 0 0.02
"158" "ABRACL" "ABRACL" 103.52 99.44 58.57 68.2 147.78 82.03 88.81 110.98 82.93 140.22 96.29 95.33 117.8 85.8
"159" "ABRAXAS1" "ABRAXAS1" 2.85 3.38 8.81 3.54 4.3 4.57 2.87 3.68 3.36 2.12 3.19 3.88 2.04 0.86
"160" "ABRAXAS2" "ABRAXAS2" 12.42 6.99 10.84 9.38 10.08 13.35 7.73 6.75 8.41 7.15 7.02 8.88 7.28 4.22
"161" "ABT1" "ABT1" 8.07 9.34 10.68 10.56 10.14 6.41 15.53 7.77 6.19 6.58 6.35 8.22 8.09 7.62
"162" "ABT1P1" "ABT1P1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"163" "ABTB1" "ABTB1" 7.9 11.6 17.04 6.33 14.22 8.04 20.38 8.85 5.52 11.84 6.55 8.62 8.31 4.9
"164" "ABTB2" "ABTB2" 4.99 2.67 2.96 2.52 2.45 3.71 5 3.39 0.9 6.68 1.66 2.68 4.06 2.51
"165" "ABTB3" "ABTB3" 1.95 0.92 2.33 0.33 0.72 3.81 0.24 0.19 0.37 0.49 0.32 0.57 0.36 0.23
"166" "ACAA1" "ACAA1" 65.06 50.39 43.43 89.45 54.86 46.94 81.03 81.42 45.15 103.17 74.71 52.33 79.52 71.54
"167" "ACAA2" "ACAA2" 62.94 159.14 157.09 287.64 49.07 128.01 43.88 157.25 273.35 302.85 192.51 131.37 261.6 110.62
"168" "ACAA2P1" "ACAA2P1" 0 0 0.77 0 0 0.08 0 0.07 0 0 0 0 0.08 0.12
"169" "ACACA" "ACACA" 24.27 18.29 12.34 42.16 26.19 15.03 17.36 8.3 7.06 5.1 9.54 15.48 9.11 6.57
"170" "ACACB" "ACACB" 6.42 2.5 7.44 3.01 1.4 1.07 2.94 5.51 6.44 7.7 8.39 11.38 5.26 2.14
"171" "ACAD10" "ACAD10" 12.91 16.09 11.93 12.85 13.1 11.68 9.36 11.7 12.72 13.12 12.81 14.56 15.98 6.48
"172" "ACAD11" "ACAD11" 6.5 8.77 9.82 3.86 7.51 7.25 4.37 3.92 6.04 3.39 4.69 6.39 4.36 1.74
"173" "ACAD8" "ACAD8" 17.33 11.39 13.51 12.45 16.81 11.62 13.68 13.91 14.99 12.1 12.44 17.73 14.39 11.36
"174" "ACAD9" "ACAD9" 24.23 18.51 17.86 19.68 19.72 20.31 54.97 13.15 9.07 9.76 15.67 15.83 13.67 10.38
"175" "ACAD9-DT" "ACAD9-DT" 0.89 0.24 0.43 0.61 1.12 0.55 0.1 0.16 0.11 0.3 0.38 0.18 0.89 0.02
"176" "ACADL" "ACADL" 0 0.18 0 0 0 0 0.07 0.02 0.14 0.15 0.05 0.44 0.04 0
"177" "ACADM" "ACADM" 5.46 36.71 27.92 46.68 36.44 25.36 19.03 23.14 46.45 50.95 50.27 49.83 42.35 16.89
"178" "ACADS" "ACADS" 8.01 18.2 4.72 14.99 4.28 2.91 16.33 34.65 24.56 30.89 34.75 20.93 28.86 15.38
"179" "ACADSB" "ACADSB" 7.69 9.74 11.46 10.11 7.96 10.66 5.33 8.75 10.39 8 9.3 11.89 10.41 2.85
"180" "ACADVL" "ACADVL" 224.25 236.03 348.66 220.75 135.17 110.95 224.35 269.03 268.15 264.63 248.34 252.65 272.03 226.01
"181" "ACAN" "ACAN" 3.52 6.03 2.14 1.57 5.75 1.15 5.77 0.05 0.84 0.06 0.05 0.28 0.01 0.48
"182" "ACAP1" "ACAP1" 1.43 2.59 9.3 3.09 7.94 8.72 12.58 5 6.2 8.74 4.02 12.3 7.92 11.24
"183" "ACAP2" "ACAP2" 18.26 8.33 12.11 12.58 20.61 12.33 13.6 7.25 11.92 16.69 9.76 15.69 14.23 3.6
"184" "ACAP2-IT1" "ACAP2-IT1" 0.98 0.56 0.58 0.29 2.2 0.55 0.25 0.12 1.35 0.52 0.78 0.99 1.05 0
"185" "ACAP3" "ACAP3" 1.22 3.56 5.67 6.07 8.18 3.34 14.13 2.57 3.49 3.25 2.46 4.34 2.93 2.18
"186" "ACAT1" "ACAT1" 64.07 40.2 80.37 72.5 71.38 76.92 70.2 118.31 94.28 108.89 79.58 81.39 81.23 71.14
"187" "ACAT2" "ACAT2" 77.48 38.15 13.91 93.3 26.19 19.61 53.26 30.8 29.31 24.42 48.68 33.95 42.34 61.39
"188" "ACBD3" "ACBD3" 27.25 20.05 34.09 26.51 26.02 28.13 25.3 23.05 18.28 18.23 19.02 32.36 19.81 15.92
"189" "ACBD3-AS1" "ACBD3-AS1" 0 0 0.47 0.23 0.24 0 0.21 0.39 1.12 0.42 0.21 2.19 1.3 0.63
"190" "ACBD4" "ACBD4" 3.44 4.99 4.14 3.24 3.92 3.45 3.93 5.88 5.96 4.57 7.29 6.21 5.49 3.88
"191" "ACBD5" "ACBD5" 11.62 23.31 16.41 21.83 15.56 27.81 12.49 11.69 15.73 14.51 14.55 19.22 15.39 5.21
"192" "ACBD6" "ACBD6" 28.25 23.13 32.37 25.63 29.38 32.86 31.57 13.55 13.65 11.77 16.14 17.9 16.81 15.85
"193" "ACBD7" "ACBD7" 1.81 0.95 1.39 1.26 0.45 0.8 0.94 0.2 0.31 0.09 0.2 0.36 0.45 0.13
"194" "ACCS" "ACCS" 9.43 10.89 22.55 6.55 6.41 8.05 10.68 10.5 20.46 15.13 13.07 8.46 12.14 7.77
"195" "ACCSL" "ACCSL" 0 0 0 0 0 0 0 0 0 0 0.04 0 0 0
"196" "ACD" "ACD" 6.78 5.57 7.69 5.72 11.71 7.6 13.28 3.5 2.78 2.71 2.66 4.24 4.86 4.16
"197" "ACE" "ACE" 3.17 9.7 8.02 5.95 10.59 6.75 11.96 5.74 10.19 4.1 10.17 7.39 10.52 4.56
"198" "ACE2" "ACE2" 74.11 29.56 13.9 3.59 40.15 41.68 7.33 6.7 23.88 19.6 16.17 9.24 21.66 4.47
"199" "ACE3P" "ACE3P" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"200" "ACER1" "ACER1" 0 0.05 0.05 0.05 0.05 0.05 0.18 0.04 0.03 0 0 0 0 0.04
